epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,1099.75,0.46233,0.39755,0.00901,0.98484,1,0.995,0.995,0.19629,0.19568,0.00582,4.12454e-05,4.12454e-05,4.12454e-05
68,1115.81,0.5766,0.53056,0.01092,0.98495,1,0.995,0.995,0.20376,0.19436,0.0059,4.00673e-05,4.00673e-05,4.00673e-05
69,1131.25,0.48702,0.41966,0.00768,0.98495,1,0.995,0.995,0.20376,0.19436,0.0059,3.88892e-05,3.88892e-05,3.88892e-05
70,1148.41,0.56201,0.43113,0.01202,0.985,1,0.995,0.995,0.21099,0.19201,0.006,3.77111e-05,3.77111e-05,3.77111e-05
71,1164.3,0.50816,0.51917,0.01018,0.985,1,0.995,0.995,0.21099,0.19201,0.006,3.6533e-05,3.6533e-05,3.6533e-05
72,1180.2,0.47436,0.47432,0.00745,0.98486,1,0.995,0.995,0.21515,0.18981,0.0061,3.53549e-05,3.53549e-05,3.53549e-05
73,1196,0.5167,0.30442,0.01039,0.98486,1,0.995,0.995,0.21515,0.18981,0.0061,3.41768e-05,3.41768e-05,3.41768e-05
74,1211.76,0.43999,0.36479,0.00743,0.98471,1,0.995,0.995,0.21628,0.18852,0.0062,3.29987e-05,3.29987e-05,3.29987e-05
75,1227.38,0.37556,0.33019,0.00646,0.98471,1,0.995,0.995,0.21628,0.18852,0.0062,3.18206e-05,3.18206e-05,3.18206e-05
76,1243.18,0.53346,0.44882,0.01085,0.98482,1,0.995,0.995,0.20701,0.18387,0.00604,3.06425e-05,3.06425e-05,3.06425e-05
77,1258.87,0.51885,0.31757,0.00821,0.98482,1,0.995,0.995,0.20701,0.18387,0.00604,2.94644e-05,2.94644e-05,2.94644e-05
78,1275.59,0.32234,0.33553,0.00635,0.98472,1,0.995,0.995,0.18894,0.1791,0.00552,2.82863e-05,2.82863e-05,2.82863e-05
79,1291.52,0.4523,0.57438,0.00773,0.98472,1,0.995,0.995,0.18894,0.1791,0.00552,2.71082e-05,2.71082e-05,2.71082e-05
80,1308.84,0.46539,0.33557,0.00929,0.98481,1,0.995,0.995,0.17376,0.17509,0.00513,2.59301e-05,2.59301e-05,2.59301e-05
81,1324.9,0.43508,0.43079,0.00774,0.98481,1,0.995,0.995,0.17376,0.17509,0.00513,2.4752e-05,2.4752e-05,2.4752e-05
82,1340.6,0.35259,0.45097,0.00639,0.9847,1,0.995,0.995,0.15651,0.17101,0.00474,2.35739e-05,2.35739e-05,2.35739e-05
83,1356.45,0.47654,0.39338,0.00954,0.9847,1,0.995,0.995,0.15651,0.17101,0.00474,2.23958e-05,2.23958e-05,2.23958e-05
84,1372.89,0.40958,0.32316,0.00863,0.98464,1,0.995,0.995,0.12369,0.18398,0.00404,2.12177e-05,2.12177e-05,2.12177e-05
85,1389.09,0.49019,0.40657,0.00785,0.98464,1,0.995,0.995,0.12369,0.18398,0.00404,2.00396e-05,2.00396e-05,2.00396e-05
86,1405.08,0.32955,0.2916,0.0056,0.98512,1,0.995,0.995,0.11127,0.16518,0.00382,1.88615e-05,1.88615e-05,1.88615e-05
87,1421.21,0.37861,0.29254,0.00642,0.98512,1,0.995,0.995,0.11127,0.16518,0.00382,1.76834e-05,1.76834e-05,1.76834e-05
88,1437.28,0.34391,0.37665,0.00594,0.98493,1,0.995,0.995,0.10574,0.16237,0.0037,1.65053e-05,1.65053e-05,1.65053e-05
89,1452.79,0.54968,0.52139,0.01296,0.98493,1,0.995,0.995,0.10574,0.16237,0.0037,1.53272e-05,1.53272e-05,1.53272e-05
90,1468.82,0.33528,0.34347,0.00856,0.98485,1,0.995,0.995,0.10331,0.16284,0.00364,1.41491e-05,1.41491e-05,1.41491e-05
91,1484.51,0.25597,0.33753,0.0073,0.98485,1,0.995,0.995,0.10331,0.16284,0.00364,1.2971e-05,1.2971e-05,1.2971e-05
92,1500.12,0.30723,0.49295,0.01019,0.98508,1,0.995,0.995,0.10267,0.16185,0.00359,1.17929e-05,1.17929e-05,1.17929e-05
93,1515.31,0.31625,0.37173,0.00997,0.98508,1,0.995,0.995,0.10267,0.16185,0.00359,1.06148e-05,1.06148e-05,1.06148e-05
94,1530.71,0.22178,0.35101,0.00617,0.98504,1,0.995,0.995,0.10705,0.15904,0.00358,9.4367e-06,9.4367e-06,9.4367e-06
95,1546.03,0.28764,0.41039,0.0076,0.98504,1,0.995,0.995,0.10705,0.15904,0.00358,8.2586e-06,8.2586e-06,8.2586e-06
96,1561.62,0.23958,0.35458,0.00711,0.98503,1,0.995,0.995,0.11076,0.15878,0.00372,7.0805e-06,7.0805e-06,7.0805e-06
97,1577.38,0.2266,0.33339,0.00692,0.98503,1,0.995,0.995,0.11076,0.15878,0.00372,5.9024e-06,5.9024e-06,5.9024e-06
98,1593.12,0.24206,0.41743,0.00718,0.9853,1,0.995,0.995,0.11566,0.15892,0.00389,4.7243e-06,4.7243e-06,4.7243e-06
99,1608.43,0.27636,0.32488,0.00676,0.9853,1,0.995,0.995,0.11566,0.15892,0.00389,3.5462e-06,3.5462e-06,3.5462e-06
100,1624.05,0.24401,0.49347,0.00719,0.98541,1,0.995,0.995,0.11936,0.1581,0.00403,2.3681e-06,2.3681e-06,2.3681e-06
